filename,marketname,avgt,year
abilene,Abilene • Sweetwater,82.47,1970
abilene,Abilene • Sweetwater,80.52,1971
abilene,Abilene • Sweetwater,80.05,1972
abilene,Abilene • Sweetwater,80.4,1973
abilene,Abilene • Sweetwater,81.25,1974
abilene,Abilene • Sweetwater,79.81,1975
abilene,Abilene • Sweetwater,79.4,1976
abilene,Abilene • Sweetwater,82.83,1977
abilene,Abilene • Sweetwater,84.84,1978
abilene,Abilene • Sweetwater,81.64,1979
abilene,Abilene • Sweetwater,86.6,1980
abilene,Abilene • Sweetwater,83.17,1981
abilene,Abilene • Sweetwater,82.85,1982
abilene,Abilene • Sweetwater,81.61,1983
abilene,Abilene • Sweetwater,83.29,1984
abilene,Abilene • Sweetwater,81.45,1985
abilene,Abilene • Sweetwater,81.78,1986
abilene,Abilene • Sweetwater,80.87,1987
abilene,Abilene • Sweetwater,81.47,1988
abilene,Abilene • Sweetwater,80.26,1989
abilene,Abilene • Sweetwater,82.18,1990
abilene,Abilene • Sweetwater,79.93,1991
abilene,Abilene • Sweetwater,79.07,1992
abilene,Abilene • Sweetwater,83.11,1993
abilene,Abilene • Sweetwater,83.18,1994
abilene,Abilene • Sweetwater,80.29,1995
abilene,Abilene • Sweetwater,81.53,1996
abilene,Abilene • Sweetwater,80.33,1997
abilene,Abilene • Sweetwater,85.05,1998
abilene,Abilene • Sweetwater,83.13,1999
abilene,Abilene • Sweetwater,83.63,2000
abilene,Abilene • Sweetwater,84.24,2001
abilene,Abilene • Sweetwater,80.87,2002
abilene,Abilene • Sweetwater,80.97,2003
abilene,Abilene • Sweetwater,78.5,2004
abilene,Abilene • Sweetwater,81.07,2005
abilene,Abilene • Sweetwater,83.48,2006
abilene,Abilene • Sweetwater,79.11,2007
abilene,Abilene • Sweetwater,82.14,2008
abilene,Abilene • Sweetwater,83.62,2009
abilene,Abilene • Sweetwater,83.97,2010
abilene,Abilene • Sweetwater,89.34,2011
abilene,Abilene • Sweetwater,84.55,2012
abilene,Abilene • Sweetwater,82.92,2013
abilene,Abilene • Sweetwater,82.88,2014
abilene,Abilene • Sweetwater,83.2,2015
abilene,Abilene • Sweetwater,83.12,2016
abilene,Abilene • Sweetwater,81.03,2017
abilene,Abilene • Sweetwater,84.39,2018
abilene,Abilene • Sweetwater,83.92,2019
